id,qr_code_uid,qr_code_name
T000463-capitol,2017/03/18/4nz8fl8z9g_T000463_capitol.png,T000463-capitol.png
V000128-capitol,2017/03/18/4sczae09nv_V000128_capitol.png,V000128-capitol.png
V000108-capitol,2017/03/18/1i3pzxht0m_V000108_capitol.png,V000108-capitol.png
W000798-capitol,2017/03/18/8oh48t0j7i_W000798_capitol.png,W000798-capitol.png
W000187-capitol,2017/03/18/9luf1x8a3w_W000187_capitol.png,W000187-capitol.png
W000806-capitol,2017/03/18/5o092cmbww_W000806_capitol.png,W000806-capitol.png
W000804-capitol,2017/03/18/8y816yva5f_W000804_capitol.png,W000804-capitol.png
W000779-capitol,2017/03/18/7fq8jc84zx_W000779_capitol.png,W000779-capitol.png
W000800-capitol,2017/03/18/8b8sb6tg1b_W000800_capitol.png,W000800-capitol.png
A000369-capitol,2017/03/18/7u3lyiwc6q_A000369_capitol.png,A000369-capitol.png
W000795-capitol,2017/03/18/644hbu2y2o_W000795_capitol.png,W000795-capitol.png
W000809-capitol,2017/03/18/27qlz655wd_W000809_capitol.png,W000809-capitol.png
D000617-capitol,2017/03/18/58dpbj5k6u_D000617_capitol.png,D000617-capitol.png
P000604-capitol,2017/03/18/8qyoold7bh_P000604_capitol.png,P000604-capitol.png
F000454-capitol,2017/03/18/53qgphawp1_F000454_capitol.png,F000454-capitol.png
T000238-capitol,2017/03/18/7f825ake5b_T000238_capitol.png,T000238-capitol.png
T000193-capitol,2017/03/18/5ivm1jqoop_T000193_capitol.png,T000193-capitol.png
L000578-capitol,2017/03/18/5erdh34pvx_L000578_capitol.png,L000578-capitol.png
B001287-capitol,2017/03/18/7ughzqfxee_B001287_capitol.png,B001287-capitol.png
B001285-capitol,2017/03/18/9mwr5pu9aj_B001285_capitol.png,B001285-capitol.png
C001097-capitol,2017/03/18/42rx5oek95_C001097_capitol.png,C001097-capitol.png
C000059-capitol,2017/03/18/1oz5ak98xu_C000059_capitol.png,C000059-capitol.png
T000250-capitol,2017/03/18/78edlxfppk_T000250_capitol.png,T000250-capitol.png
S000320-capitol,2017/03/18/9u0w1mor5t_S000320_capitol.png,S000320-capitol.png
C001093-capitol,2017/03/18/318uigj9fv_C001093_capitol.png,C001093-capitol.png
G000571-capitol,2017/03/18/70swruxolj_G000571_capitol.png,G000571-capitol.png
D000622-capitol,2017/03/18/5wo8ijnykx_D000622_capitol.png,D000622-capitol.png
B001286-capitol,2017/03/18/6wriswsxiu_B001286_capitol.png,B001286-capitol.png
B001284-capitol,2017/03/18/7z9kro95yc_B001284_capitol.png,B001284-capitol.png
V000130-capitol,2017/03/18/1v1s56v3cd_V000130_capitol.png,V000130-capitol.png
M001189-capitol,2017/03/18/5umydzj8uv_M001189_capitol.png,M001189-capitol.png
B001282-capitol,2017/03/18/2a8ivqnu7_B001282_capitol.png,B001282-capitol.png
K000379-capitol,2017/03/18/91fb1ks8xh_K000379_capitol.png,K000379-capitol.png
D000620-capitol,2017/03/18/2tqwemrivy_D000620_capitol.png,D000620-capitol.png
C001096-capitol,2017/03/18/21catnkx5v_C001096_capitol.png,C001096-capitol.png
K000383-capitol,2017/03/18/p6vfzucy2_K000383_capitol.png,K000383-capitol.png
K000380-capitol,2017/03/18/4uyijvct3h_K000380_capitol.png,K000380-capitol.png
D000618-capitol,2017/03/18/1qo2lac86r_D000618_capitol.png,D000618-capitol.png
S001193-capitol,2017/03/18/2lzrifhy2m_S001193_capitol.png,S001193-capitol.png
K000382-capitol,2017/03/18/70avosgc9w_K000382_capitol.png,K000382-capitol.png
M001185-capitol,2017/03/18/3pog962hve_M001185_capitol.png,M001185-capitol.png
P000608-capitol,2017/03/18/3gq4p95w01_P000608_capitol.png,P000608-capitol.png
C001095-capitol,2017/03/18/2n75dr4qlc_C001095_capitol.png,C001095-capitol.png
T000468-capitol,2017/03/18/7z31pw75py_T000468_capitol.png,T000468-capitol.png
C001092-capitol,2017/03/18/79z3c0tk5j_C001092_capitol.png,C001092-capitol.png
J000295-capitol,2017/03/18/9yvuraiyx_J000295_capitol.png,J000295-capitol.png
B001283-capitol,2017/03/18/6kqbyt1how_B001283_capitol.png,B001283-capitol.png
P000605-capitol,2017/03/18/3gfx17zwky_P000605_capitol.png,P000605-capitol.png
R000598-capitol,2017/03/18/1e0acf00sj_R000598_capitol.png,R000598-capitol.png
C001051-capitol,2017/03/18/1o1sko1vud_C001051_capitol.png,C001051-capitol.png
E000293-capitol,2017/03/18/6qtlvqla8y_E000293_capitol.png,E000293-capitol.png
H001041-capitol,2017/03/18/879ovbfru1_H001041_capitol.png,H001041-capitol.png
V000131-capitol,2017/03/18/36gfbrkur6_V000131_capitol.png,V000131-capitol.png
K000384-capitol,2017/03/18/6dg1psa0l7_K000384_capitol.png,K000384-capitol.png
K000381-capitol,2017/03/18/5i8xzi6koa_K000381_capitol.png,K000381-capitol.png
S001195-capitol,2017/03/18/16wxn8vjlu_S001195_capitol.png,S001195-capitol.png
B001288-capitol,2017/03/18/3vmjymbbsm_B001288_capitol.png,B001288-capitol.png
